Guava; Guava; com.google.common; 1
iText; iText; com.lowagie.text; 1
eawt; ; com.apple.eawt; 0
OSCache; OSCache; com.opensymphony.oscache; 1
XStream; XStream; com.thoughtworks.xstream; 1
JGoodies; JGoodies; com.jgoodies; 1
jpeg; ; com.sun.image.codec.jpeg; 1
Swing; Swing; javax.swing; 1
Swing; Swing; com.sun.java.swing; 1
CUP; CUP; java_cup.runtime; 0
SQL; ; java.sql; 0
RMI; ; java.rmi; 1
applet; ; java.applet; 0
nio; ; java.nio; 1
security; ; java.security; 1
util; ; java.util; 0
zip; ; java.util.zip; 0
regex; ; java.util.regex; 0
concurrent; ; java.util.concurrent; 1
jar; ; java.util.jar; 0
logging; ; java.util.logging; 0
net; ; java.net; 0
net; ; javax.net; 0
io; ; java.io; 0
AWT; AWT; java.awt; 1
AWT; AWT; sun.awt; 1
math; ; java.math; 0
beans; ; java.beans; 1
text; ; java.text; 0
lang; ; java.lang; 0
annotation; ; java.lang.annotation; 0
annotation; ; javax.annotation; 1
reflect; ; java.lang.reflect; 0
management; ; java.lang.management; 0
ref; ; java.lang.ref; 0
Jaxen; Jaxen; org.jaxen; 1
JDOM; JDOM; org.jdom; 1
ANTLR 3; ANTLR ; org.antlr.runtime; 1
ANTLR 2; ANTLR ; antlr.collections; 1
Jython; Jython; org.python; 1
Rhino; Rhino; org.mozilla.javascript; 0
Spring; Spring; org.springframework; 1
Hibernate; Hibernate; org.hibernate; 1
ASM; ASM; org.objectweb.asm; 1
Jetty; Jetty; org.mortbay.jetty; 1
JFreeChart; JFreeChart; org.jfree.chart; 1
JFreeChart; JFreeChart; org.jfree.data; 1
Hamcrest; Hamcrest; org.hamcrest; 1
SAX; SAX; org.xml.sax; 1
jEdit; jEdit; org.syntax.jedit; 1
PlexusXml; ; org.codehaus.plexus.util.xml.pull; 0
JGraph; JGraph; org.jgraph; 1
dom4j; dom4j; org.dom4j; 1
htmlparser; ; org.htmlparser; 1
JGroups; JGroups; org.jgroups; 1
ApacheXml; ; org.apache.xml; 1
ApacheXml; ; org.apache.xerces; 1
ApacheXml; ; org.apache.xpath; 1
xmlrpc; ; org.apache.xmlrpc; 1
log4j; log4j; org.apache.log4j; 1
ant; ; org.apache.tools.ant; 1
AvalonLogKit; ; org.apache.log; 1
SLF4J; SLF4J; org.slf4j; 1
commons; Apache Commons; org.apache.commons; 1
Velocity; Velocity; org.apache.velocity; 1
POI; POI; org.apache.poi; 1
Avalon; Avalon; org.apache.avalon; 1
Maven; Maven; org.apache.maven; 1
ORO; ORO; org.apache.oro; 1
Lucene; Lucene; org.apache.lucene; 1
Struts; Struts; org.apache.struts; 1
BCEL; BCEL; org.apache.bcel; 1
ECS; ECS; org.apache.ecs; 1
BSF; BSF; org.apache.bsf; 1
JDT; JDT; org.eclipse.jdt; 1
DOM; DOM; org.w3c.dom; 1
Tidy; Tidy; org.w3c.tidy; 1
bouncycastle; Bouncy Castle; org.bouncycastle; 1
Smack; Smack; org.jivesoftware.smack; 1
Javassist; Javassist; javassist; 1
JAMA; JAMA; Jama; 0
sun.misc; ; sun.misc; 0
gnu.regexp; ; gnu.regexp; 1
JUnit 3; JUnit; junit; 1
OGNL; OGNL; ognl; 0
JNLP; ; javax.jnlp; 0
JNDI; JNDI; javax.naming; 1
EJB; EJB; javax.ejb; 1
JTA; JTA; javax.transaction; 1
JPA; JPA; javax.persistence; 1
image; Java Image I/O; javax.imageio; 1
servlet; Java Servlet; javax.servlet; 1
JMF; JMF; javax.media; 1
JAF; JAF; javax.activation; 0
mail; JavaMail; javax.mail; 1
print; Java Print Service; javax.print; 1
IIOP; RMI-IIOP; javax.rmi; 1
